,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Pair Classification,Reranking,Retrieval
140,141,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),⚠️ NA,0.007,0.019,384.0,512.0,51.78,55.48,66.7,54.63,45.11
141,142,[ru-en-RoSBERTa](https://huggingface.co/ai-forever/ru-en-RoSBERTa),85%,0.303,0.404,1024.0,512.0,51.38,54.64,65.63,52.78,45.51
142,143,[Wartortle](https://huggingface.co/Mihaiii/Wartortle),92%,0.006,0.017,384.0,512.0,50.05,55.03,67.53,56.48,41.09
143,144,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),92%,6.526,7.069,3584.0,32768.0,,,,,73.32
144,145,[pplx-embed-v1-4b](https://huggingface.co/perplexity-ai/pplx-embed-v1-4b),92%,3.611,4.0,2560.0,32768.0,,,,,77.33
145,146,[voyage-3-large](https://blog.voyageai.com/2025/01/07/voyage-3-large/),100%,,,1024.0,32000.0,,,,,74.32
146,147,[udever-bloom-7b1](https://huggingface.co/izhx/udever-bloom-7b1),100%,,,,,,,69.24,54.43,
147,148,[udever-bloom-1b1](https://huggingface.co/izhx/udever-bloom-1b1),100%,0.68,1.065,,,,,68.91,54.14,
148,149,[Squirtle](https://huggingface.co/Mihaiii/Squirtle),92%,0.004,0.016,384.0,512.0,48.25,53.69,66.99,55.65,38.44
149,150,[pplx-embed-v1-0.6b](https://huggingface.co/perplexity-ai/pplx-embed-v1-0.6b),92%,0.44,0.596,1024.0,32768.0,,,,,74.3
150,151,[jina-embeddings-v4](https://huggingface.co/jinaai/jina-embeddings-v4),100%,3.624,3.935,2048.0,32768.0,,,,,74.15
151,152,[potion-base-8M](https://huggingface.co/minishlab/potion-base-8M),92%,0.0,0.008,256.0,,49.03,53.57,64.92,54.93,40.85
152,153,[German_Semantic_STS_V2](https://huggingface.co/aari1995/German_Semantic_STS_V2),⚠️ NA,0.304,0.336,1024.0,512.0,48.15,52.78,68.21,50.29,39.83
153,154,[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1),100%,0.085,0.11,768.0,512.0,,,66.21,,
154,155,[Venusaur](https://huggingface.co/Mihaiii/Venusaur),⚠️ NA,0.004,0.016,384.0,512.0,48.62,53.99,66.23,56.76,38.97
155,156,[M2V_base_glove_subword](https://huggingface.co/minishlab/M2V_base_glove_subword),92%,0.0,0.103,256.0,,46.51,52.03,65.31,54.22,36.57
156,157,[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output),92%,0.0,0.008,256.0,,46.32,51.87,65.45,53.84,36.32
157,158,[cai-lunaris-text-embeddings](https://huggingface.co/consciousAI/cai-lunaris-text-embeddings),⚠️ NA,0.304,0.335,1024.0,512.0,47.36,51.82,65.54,50.61,39.32
158,159,[potion-base-4M](https://huggingface.co/minishlab/potion-base-4M),92%,0.0,0.004,128.0,,47.84,52.63,64.73,53.97,39.21
159,160,[gte-micro](https://huggingface.co/Mihaiii/gte-micro),⚠️ NA,0.006,0.017,384.0,512.0,47.45,52.31,66.87,51.37,38.71
160,161,[LaBSE-ru-turbo](https://huggingface.co/sergeyzh/LaBSE-ru-turbo),100%,0.087,0.129,768.0,512.0,,,,50.63,47.44
161,162,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),92%,1.31,1.543,1536.0,32768.0,,,,,70.5
162,163,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),92%,0.0,0.002,64.0,,45.07,50.67,64.6,52.43,34.99
163,164,[udever-bloom-560m](https://huggingface.co/izhx/udever-bloom-560m),100%,0.302,0.559,,,,,67.86,45.7,
164,165,[udever-bloom-3b](https://huggingface.co/izhx/udever-bloom-3b),100%,2.36,3.003,,,,,68.91,51.65,
165,166,[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings),100%,1.982,2.506,2048.0,8192.0,36.22,44.68,66.43,46.6,20.99
166,167,[M2V_base_glove](https://huggingface.co/minishlab/M2V_base_glove),92%,0.0,0.102,256.0,,43.55,47.51,65.07,41.05,36.42
167,168,[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding),⚠️ NA,,0.099,1024.0,512.0,29.38,40.15,63.52,46.93,10.0
168,169,[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2),100%,0.022,0.033,384.0,256.0,,,65.84,,
169,170,[silma-embeddding-matryoshka-v0.1](https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1),⚠️ NA,0.086,0.135,768.0,512.0,38.73,45.95,65.76,46.36,25.74
170,171,[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2),100%,0.086,0.109,768.0,384.0,,,66.43,,
171,172,[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka),100%,0.086,0.135,768.0,512.0,36.26,44.21,65.32,45.37,21.95
172,173,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),100%,0.019,0.035,512.0,512.0,,,65.48,,
173,174,[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet),100%,0.086,0.109,768.0,514.0,36.57,45.06,65.94,47.97,21.27
174,175,[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en),100%,0.114,0.137,768.0,8192.0,33.99,43.33,61.46,51.33,17.19
175,176,[USER-base](https://huggingface.co/deepvk/USER-base),100%,0.388,0.427,768.0,512.0,,,,50.06,39.41
176,177,[baseline-bm25s](https://github.com/xhluca/bm25s),⚠️ NA,0.0,,,,,,,30.81,49.06
177,178,[LaBSE-en-ru](https://huggingface.co/cointegrated/LaBSE-en-ru),100%,0.087,0.129,768.0,512.0,,,,50.05,37.46
178,179,[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka),100%,0.086,0.163,768.0,512.0,32.4,41.11,65.07,41.55,16.72
179,180,[jina-embeddings-v2-small-en](https://huggingface.co/jinaai/jina-embeddings-v2-small-en),100%,0.017,0.033,512.0,8192.0,32.25,40.43,62.94,40.81,17.54
180,181,[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo),100%,0.003,0.029,312.0,2048.0,,,,48.43,35.81
181,182,baseline-random-encoder,100%,,,32.0,,21.51,32.52,61.86,34.01,1.7
182,183,[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny),100%,0.003,0.012,312.0,512.0,,,,44.66,22.77
183,184,[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational),100%,0.015,0.107,768.0,512.0,,,,42.94,20.32
184,185,[deberta-v1-base](https://huggingface.co/deepvk/deberta-v1-base),85%,0.085,0.124,768.0,512.0,,,,38.26,10.97
185,185,[rubert-tiny2](https://huggingface.co/cointegrated/rubert-tiny2),100%,0.003,0.029,312.0,2048.0,,,,45.86,27.3
186,187,[rubert-base-cased-sentence](https://huggingface.co/DeepPavlov/rubert-base-cased-sentence),100%,0.015,0.107,768.0,512.0,,,,44.55,17.22
187,188,[rubert-base-cased](https://huggingface.co/DeepPavlov/rubert-base-cased),85%,1.188,1.28,768.0,512.0,,,,41.41,11.5
188,189,[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru),100%,0.304,0.427,1024.0,512.0,,,,39.55,15.2
189,190,[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru),100%,0.304,0.427,1024.0,512.0,,,,40.79,16.18
190,191,[Jasper-Token-Compression-600M](https://huggingface.co/infgrad/Jasper-Token-Compression-600M),78%,0.452,0.607,2048.0,32768.0,,,,,
191,192,[jina-reranker-v3](https://huggingface.co/jinaai/jina-reranker-v3),85%,0.441,0.597,,131072.0,,,,79.48,
192,193,[cadet-embed-base-v1](https://huggingface.co/manveertamber/cadet-embed-base-v1),78%,0.086,0.109,768.0,512.0,,,,,
193,194,[bge-multilingual-gemma2](https://huggingface.co/BAAI/bge-multilingual-gemma2),78%,8.322,9.24,3584.0,8192.0,,,,,
194,195,[voyage-law-2](https://blog.voyageai.com/2024/04/15/domain-specific-embeddings-and-retrieval-legal-edition-voyage-law-2/),100%,,,1024.0,16000.0,,,,,
195,196,[Querit](https://huggingface.co/Querit/Querit),92%,4.788,4.92,1024.0,4096.0,,,,72.64,
196,197,[KaLM-embedding-multilingual-mini-instruct-v1.5](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1.5),85%,0.358,0.494,896.0,512.0,,,,,
197,198,[b1ade-embed](https://huggingface.co/w601sxs/b1ade-embed),92%,0.304,0.335,1024.0,4096.0,,,,,
198,199,[lodestone-base-4096-v1](https://huggingface.co/Hum-Works/lodestone-base-4096-v1),100%,0.114,0.137,768.0,,,,62.24,,
199,200,[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5),⚠️ NA,0.113,0.137,768.0,8192.0,,,,,
200,201,[granite-embedding-english-r2](https://huggingface.co/ibm-granite/granite-embedding-english-r2),78%,0.11,0.149,768.0,8192.0,,,,,
201,202,[bge-large-en](https://huggingface.co/BAAI/bge-large-en),92%,0.304,0.335,1024.0,512.0,,,,,
202,203,[Conan-embedding-v2](https://huggingface.co/TencentBAC/Conan-embedding-v2),78%,,,3584.0,32768.0,,,,,
203,204,[MoD-Embedding](https://huggingface.co/bflhc/MoD-Embedding),92%,3.634,4.022,2560.0,32768.0,,,,,
204,205,[QZhou-Embedding](https://huggingface.co/Kingsoft-LLM/QZhou-Embedding),78%,6.526,7.071,3584.0,8192.0,,,,,
205,206,[bge-base-en](https://huggingface.co/BAAI/bge-base-en),92%,0.086,0.109,768.0,512.0,,,,,
206,207,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),100%,0.011,0.023,384.0,512.0,,,,,
207,207,[Octen-Embedding-4B](https://huggingface.co/Octen/Octen-Embedding-4B),92%,3.634,4.022,2560.0,32768.0,,,,,
208,209,[gemini-embedding-2-preview](https://ai.google.dev/gemini-api/docs/embeddings),92%,,,3072.0,2048.0,,,,,
209,209,[Octen-Embedding-4B-INT8](https://huggingface.co/Octen/Octen-Embedding-4B-INT8),92%,3.634,4.022,1024.0,32768.0,,,,,
210,209,[Octen-Embedding-8B-INT8](https://huggingface.co/Octen/Octen-Embedding-8B-INT8),92%,6.946,7.567,1024.0,32768.0,,,,,
211,212,[Seed1.6-embedding](https://seed1-6-embedding.github.io/),85%,,,2048.0,32768.0,,,,,
212,213,[Octen-Embedding-0.6B](https://huggingface.co/Octen/Octen-Embedding-0.6B),92%,0.44,0.596,1024.0,32768.0,,,,,
213,214,[Seed1.5-Embedding](https://seed1-5-embedding.github.io/),85%,,,2048.0,32768.0,,,,,
214,215,[granite-embedding-small-english-r2](https://huggingface.co/ibm-granite/granite-embedding-small-english-r2),78%,0.028,0.048,384.0,8192.0,,,,,
215,216,[voyage-4-large (embed_dim=2048)](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,2048.0,32000.0,,,,,
216,217,[voyage-4-large](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,,,
217,218,[Cohere-embed-v4.0](https://docs.cohere.com/docs/cohere-embed),⚠️ NA,,,1536.0,128000.0,,,,,
218,219,[voyage-4](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,,,
219,220,[Cohere-embed-v4.0 (output_dtype=int8)](https://docs.cohere.com/docs/embeddings),⚠️ NA,,,1536.0,128000.0,,,,,
220,221,[voyage-3.5 (output_dtype=int8)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,,,,,
221,222,[voyage-4-lite](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,,,
222,223,[KaLM-embedding-multilingual-mini-instruct-v2.5](https://huggingface.co/KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5),85%,0.358,0.494,896.0,512.0,,,,,
223,224,[Cohere-embed-v4.0 (output_dtype=binary)](https://docs.cohere.com/docs/embeddings),⚠️ NA,,,1536.0,128000.0,,,,,
224,225,[voyage-3.5 (output_dtype=binary)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,,,,,
225,226,[gme-Qwen2-VL-7B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-7B-Instruct),100%,7.201,7.746,3584.0,32768.0,,,,,
226,227,[gme-Qwen2-VL-2B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-2B-Instruct),100%,1.976,2.209,1536.0,32768.0,,,,,
227,228,[text-embedding-004](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),92%,,,768.0,2048.0,,,,,
228,229,[text-embedding-ada-002](https://openai.com/index/new-and-improved-embedding-model/),⚠️ NA,,,1536.0,8191.0,,,,,
229,230,[PIXIE-Rune-v1.0](https://huggingface.co/telepix/PIXIE-Rune-v1.0),92%,0.312,0.568,1024.0,6144.0,,,,,
230,231,[text-embedding-005](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),92%,,,768.0,2048.0,,,,,
231,232,[KaLM-embedding-multilingual-mini-instruct-v2](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v2),85%,0.358,0.494,896.0,512.0,,,,,
232,232,[bge-base-zh-v1.5](https://huggingface.co/BAAI/bge-base-zh-v1.5),100%,0.093,0.109,768.0,512.0,,,,,
233,234,[bge-large-zh-v1.5](https://huggingface.co/BAAI/bge-large-zh-v1.5),100%,0.313,0.335,1024.0,512.0,,,,,
234,235,[static-retrieval-mrl-en-v1](https://huggingface.co/sentence-transformers/static-retrieval-mrl-en-v1),92%,0.0,0.031,1024.0,,,,,,
235,236,[bge-m3-unsupervised](https://huggingface.co/BAAI/bge-m3-unsupervised),85%,0.312,0.568,1024.0,8192.0,,,,,
236,237,[mdbr-leaf-ir](https://huggingface.co/MongoDB/mdbr-leaf-ir),100%,0.011,0.023,768.0,512.0,,,,,
237,238,[Dmeta-embedding-zh-small](https://huggingface.co/DMetaSoul/Dmeta-embedding-zh-small/),⚠️ NA,0.058,0.074,768.0,1024.0,,,,,
