,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Pair Classification,Reranking,Retrieval
284,285,[xiaobu-embedding](https://huggingface.co/lier007/xiaobu-embedding),⚠️ NA,0.304,0.326,1024.0,512.0,,,,,
285,286,[F2LLM-1.7B](https://huggingface.co/codefuse-ai/F2LLM-1.7B),85%,1.409,1.721,2048.0,8192.0,,,,,
286,287,[stella-mrl-large-zh-v3.5-1792d](https://huggingface.co/dunzhang/stella-large-zh-v3-1792d),100%,0.304,0.326,1792.0,512.0,,,,,
287,288,[miniac-embed](https://huggingface.co/ManiacLabs/miniac-embed),100%,0.021,0.033,1024.0,512.0,,,,,
288,289,[e5-R-mistral-7b](https://huggingface.co/BeastyZ/e5-R-mistral-7b),92%,7.111,7.242,4096.0,32768.0,,,,,
289,290,[bge-small-en](https://huggingface.co/BAAI/bge-small-en),92%,0.022,0.033,512.0,512.0,,,,,
290,291,[F2LLM-0.6B](https://huggingface.co/codefuse-ai/F2LLM-0.6B),85%,0.44,0.596,1024.0,8192.0,,,,,
291,292,[Tarka-Embedding-150M-V1](https://huggingface.co/Tarka-AIR/Tarka-Embedding-150M-V1),92%,0.106,0.156,768.0,2048.0,,,,,
292,293,[text2vec-base-chinese-paraphrase](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),100%,0.087,0.118,768.0,512.0,,,,,
293,294,[SONAR](https://ai.meta.com/research/publications/sonar-sentence-level-multimodal-and-language-agnostic-representations/),100%,,,1024.0,512.0,,,,,
294,295,[mini-gte](https://huggingface.co/prdev/mini-gte),100%,0.043,0.066,768.0,512.0,,,,,
295,296,[LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised),85%,6.516,6.647,4096.0,32768.0,,,,,
296,297,[xlm-roberta-large](https://huggingface.co/FacebookAI/xlm-roberta-large),100%,0.304,0.56,1024.0,512.0,,,,,
297,298,[DenseOn-unsupervised](https://huggingface.co/lightonai/DenseOn-unsupervised),100%,0.11,0.149,768.0,8192.0,,,,,
298,299,[DenseOn](https://huggingface.co/lightonai/DenseOn),100%,0.11,0.149,768.0,8192.0,,,,,
299,300,[BiCA-base](https://huggingface.co/bisectgroup/BiCA-base),100%,0.086,0.109,768.0,512.0,,,,,
300,301,[gtr-t5-xxl](https://huggingface.co/sentence-transformers/gtr-t5-xxl),100%,4.833,4.866,768.0,512.0,,,,,
301,302,[Arabic-Triplet-Matryoshka-V2](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-Triplet-Matryoshka-V2),100%,0.086,0.135,768.0,768.0,,,,,
302,303,[ColBERT-Zero](https://huggingface.co/lightonai/ColBERT-Zero),100%,0.11,0.149,128.0,8192.0,,,,,
303,304,[gtr-t5-xl](https://huggingface.co/sentence-transformers/gtr-t5-xl),100%,1.209,1.242,768.0,512.0,,,,,
304,305,[gtr-t5-large](https://huggingface.co/sentence-transformers/gtr-t5-large),100%,0.303,0.336,768.0,512.0,,,,,
305,306,[opensearch-neural-sparse-encoding-doc-v3-gte](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-gte),100%,0.113,0.137,30522.0,8192.0,,,,,
306,307,[opensearch-neural-sparse-encoding-doc-v3-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-distill),100%,0.043,0.066,30522.0,512.0,,,,,
307,308,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse),100%,7.022,7.547,4096.0,8192.0,,,,,
308,309,[LLM2Vec-Sheared-LLaMA-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-supervised),85%,1.229,1.295,4096.0,32768.0,,,,,
309,310,[Titan-text-embeddings-v2](https://huggingface.co/amazon/Titan-text-embeddings-v2),⚠️ NA,,,,,,,,,
310,311,[ColBERT-Zero-unsupervised](https://huggingface.co/lightonai/ColBERT-Zero-unsupervised),100%,0.11,0.149,128.0,8192.0,,,,,
311,312,[xlm-roberta-base](https://huggingface.co/FacebookAI/xlm-roberta-base),100%,0.086,0.278,768.0,512.0,,,,,
312,313,[gtr-t5-base](https://huggingface.co/sentence-transformers/gtr-t5-base),100%,0.086,0.11,768.0,512.0,,,,,
313,314,[LateOn](https://huggingface.co/lightonai/LateOn),100%,0.11,0.149,128.0,8192.0,,,,,
314,315,[mxbai-embed-xsmall-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-xsmall-v1),100%,0.012,0.024,384.0,512.0,,,,,
315,316,[opensearch-neural-sparse-encoding-doc-v2-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill),100%,0.043,0.066,30522.0,512.0,,,,,
316,317,[m3e-large](https://huggingface.co/moka-ai/m3e-large),92%,0.304,0.326,768.0,512.0,,,,,
317,318,[modernbert-embed-base](https://huggingface.co/nomic-ai/modernbert-embed-base),85%,0.11,0.149,768.0,8192.0,,,,,
318,319,[opensearch-neural-sparse-encoding-doc-v2-mini](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-mini),100%,0.011,0.023,30522.0,512.0,,,,,
319,320,[GTE-ModernColBERT-v1](https://huggingface.co/lightonai/GTE-ModernColBERT-v1),92%,0.11,0.149,128.0,8192.0,,,,,
320,321,[cai-stellaris-text-embeddings](https://huggingface.co/consciousAI/cai-stellaris-text-embeddings),⚠️ NA,,,768.0,514.0,,,,,
321,322,[m3e-base](https://huggingface.co/moka-ai/m3e-base),92%,0.086,0.102,768.0,512.0,,,,,
322,322,[Giga-Embeddings-instruct](https://huggingface.co/ai-sage/Giga-Embeddings-instruct),⚠️ NA,,3.227,2048.0,4096.0,,,,,
323,324,[LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse),100%,6.516,6.647,4096.0,32768.0,,,,,
324,325,[m3e-small](https://huggingface.co/moka-ai/m3e-small),92%,0.013,0.024,512.0,512.0,,,,,
325,326,[potion-retrieval-32M](https://huggingface.co/minishlab/potion-retrieval-32M),92%,0.0,0.032,512.0,,,,,,
326,327,[LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse),100%,1.229,1.295,4096.0,32768.0,,,,,
327,328,[LateOn-unsupervised](https://huggingface.co/lightonai/LateOn),100%,0.11,0.149,128.0,8192.0,,,,,
328,329,[potion-base-32M](https://huggingface.co/minishlab/potion-base-32M),92%,0.0,0.032,512.0,,,,,,
329,330,[ColBERT-Zero-supervised](https://huggingface.co/lightonai/ColBERT-Zero-supervised),100%,0.11,0.149,128.0,8192.0,,,,,
330,331,[MicroLlama-text-embedding](https://huggingface.co/keeeeenw/MicroLlama-text-embedding),100%,0.239,0.272,1024.0,2048.0,,,,,
